Car,Model,Volume,Weight,CO2
Toyoty,Aygo,1000,0.79,99
Mitsubishi,Space Star,1200,1.16,95
Skoda,Citigo,1000,0.929,95
Fiat,500,900,0.865,90
Mini,Cooper,1500,1.14,105
VW,Up!,1000,0.929,105
Skoda,Fabia,1400,1.109,90
Mercedes,A-Class,1500,1.365,92
Ford,Fiesta,1500,1.112,98
Audi,A1,1600,1.15,99
Hyundai,I20,1100,0.98,99
Suzuki,Swift,1300,0.99,101
Ford,Fiesta,1000,1.112,99
Honda,Civic,1600,1.252,94
Hundai,I30,1600,1.3259999999999998,97
Opel,Astra,1600,1.33,97
BMW,1,1600,1.365,99
Mazda,3,2200,1.28,104
Skoda,Rapid,1600,1.119,104
Ford,Focus,2000,1.328,105
Ford,Mondeo,1600,1.584,94
Opel,Insignia,2000,1.4280000000000002,99
Mercedes,C-Class,2100,1.365,99
Skoda,Octavia,1600,1.415,99
Volvo,S60,2000,1.415,99
Mercedes,CLA,1500,1.465,102
Audi,A4,2000,1.49,104
Audi,A6,2000,1.725,114
Volvo,V70,1600,1.5230000000000001,109
BMW,5,2000,1.705,114
Mercedes,E-Class,2100,1.605,115
Volvo,XC70,2000,1.746,117
Ford,B-Max,1600,1.235,104
BMW,216,1600,1.39,108
Opel,Zafira,1600,1.405,109
Mercedes,SLK,2500,1.395,120
